CNPJ,SEQUENCIAL_DO_CNPJ,DV_DO_CNPJ,NOME_INSTITUIÇÃO,SEGMENTO,CÓD_COMPE_AG,NOME_AGÊNCIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICíPIO,UF,DATA_INÍCIO,DDD,FONE,ID_INSTALAÇÃO,ID_INSTALAÇÃO_ESTBAN,MUNICIPIO_IBGE
60.701.190,424.0,43.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,453.0,CARUARU-PE,PRACA JOSE MARTINS 20,,,CENTRO,55002-505,CARUARU,PE,1927-02-13 00:00:00,11.0,30034828.0,9999970079.0,A9970079,2604106.0
60.701.190,427.0,96.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3731.0,GOIOERE - PR.,AV. DANIEL PORTELA 788,,,CENTRO,87360-000,GOIOERE,PR,2001-07-23 00:00:00,11.0,30034828.0,9999970076.0,A9970076,4108601.0
60.701.190,431.0,72.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,488.0,RIO/BAIRRO GRAJAU,PRACA EDMUNDO REGO -,38,B/C,GRAJAU,20561-130,RIO DE JANEIRO,RJ,1958-08-05 00:00:00,11.0,30034828.0,9999970072.0,A9970072,3304557.0
60.701.190,432.0,53.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,413.0,RIO/LEBLON,AV. ATAULFO DE PAIVA 270 LOJAS A E B,,,LEBLON,22440-032,RIO DE JANEIRO,RJ,1962-10-11 00:00:00,11.0,30034828.0,9999970071.0,A9970071,3304557.0
60.701.190,433.0,34.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,458.0,RIO/LIDO,RUA BELFORT ROXO 146 A E 158 A,,,COPACABANA,22020-010,RIO DE JANEIRO,RJ,1958-05-28 00:00:00,11.0,30034828.0,9999970070.0,A9970070,3304557.0
60.701.190,437.0,68.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,463.0,CAMPOS DOS GOYTACAZES-RJ,RUA SANTOS DUMONT 25,,,CENTRO,28010-220,CAMPOS DOS GOYTACAZES,RJ,1957-10-28 00:00:00,11.0,30034828.0,9999970066.0,A9970066,3301009.0
60.701.190,438.0,49.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,2936.0,ASTORGA - PR.,AV. PRESIDENTE GETULIO VARGAS 89,,,CENTRO,86730-000,ASTORGA,PR,2001-07-23 00:00:00,11.0,30034828.0,9999970065.0,A9970065,4102109.0
60.701.190,441.0,44.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,402.0,RIO/MADUREIRA,RUA CARVALHO DE SOUZA 241 E 247- LOJA E,,SOBRELOJA,MADUREIRA,21350-180,RIO DE JANEIRO,RJ,1957-08-07 00:00:00,11.0,30034828.0,9999970062.0,A9970062,3304557.0
60.701.190,443.0,6.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,406.0,RIO/JARDIM DO MEIER,RUA CAROLINA MEIER 50,,,MEIER,20780-000,RIO DE JANEIRO,RJ,1969-07-25 00:00:00,11.0,30034828.0,9999970060.0,A9970060,3304557.0
60.701.190,444.0,97.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,485.0,RIO/BAIRRO OLARIA,ESTRADA ENGENHO DA PEDRA 1727,,,OLARIA,20550-013,RIO DE JANEIRO,RJ,1958-08-19 00:00:00,11.0,30034828.0,9999970059.0,A9970059,3304557.0
60.701.190,445.0,78.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,410.0,RIO/BAIRRO DA PENHA,RUA NICARAGUA 196,,,PENHA,21020-050,RIO DE JANEIRO,RJ,1961-02-06 00:00:00,11.0,30034828.0,9999970058.0,A9970058,3304557.0
60.701.190,447.0,30.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,424.0,BARIRI-SP,RUA 7 DE SETEMBRO 1034,,,CENTRO,17250-000,BARIRI,SP,1958-10-16 00:00:00,11.0,30034828.0,9999970056.0,A9970056,3505203.0
60.701.190,448.0,10.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,425.0,BARRA BONITA-SP,RUA MAJOR POMPEU 425,,,CENTRO,17340-000,BARRA BONITA,SP,1958-10-16 00:00:00,11.0,30034828.0,9999970055.0,A9970055,3505302.0
60.701.190,449.0,0.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,457.0,CERQUILHO-SP,RUA ENG. URBANO DE PADUA ARAUJO 29,,,CENTRO,18520-000,CERQUILHO,SP,1958-11-05 00:00:00,11.0,30034828.0,9999970054.0,A9970054,3511508.0
60.701.190,450.0,35.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3728.0,CASTRO - PR.,RUA DR. JORGE XAVIER DA SILVA 455,,,CENTRO,84165-000,CASTRO,PR,2001-07-23 00:00:00,11.0,30034828.0,9999970053.0,A9970053,4104907.0
60.701.190,452.0,5.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,422.0,GARCA-SP,RUA HEITOR PENTEADO 80,,,CENTRO,17400-000,GARCA,SP,1958-10-16 00:00:00,11.0,30034828.0,9999970051.0,A9970051,3516705.0
60.701.190,456.0,20.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,436.0,OSWALDO CRUZ-SP,AV. BRASIL,418,,CENTRO,17700-000,OSVALDO CRUZ,SP,1958-10-16 00:00:00,11.0,30034828.0,9999970048.0,A9970048,3534609.0
60.701.190,457.0,1.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,437.0,PEDERNEIRAS-SP,RUA SIQUEIRA CAMPOS L-34,,,CENTRO,17280-000,PEDERNEIRAS,SP,1958-10-16 00:00:00,11.0,30034828.0,9999970047.0,A9970047,3536703.0
60.701.190,458.0,92.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,460.0,PROMISSAO-SP,AV. PEDRO DE TOLEDO 630,,,CENTRO,16370-000,PROMISSAO,SP,1966-03-26 00:00:00,11.0,30034828.0,9999970046.0,A9970046,3541604.0
60.701.190,459.0,73.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,430.0,TUPA-SP,AV.TAMOIOS780,,,CENTRO,17601-000,TUPA,SP,1967-02-18 00:00:00,11.0,30034828.0,9999970045.0,A9970045,3555000.0
60.701.190,460.0,7.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,442.0,BATATAIS-SP,RUA MARECHAL DEODORO11,,,CENTRO,14300-000,BATATAIS,SP,1962-05-19 00:00:00,11.0,30034828.0,9999970044.0,A9970044,3505906.0
60.701.190,464.0,30.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,448.0,PITANGUEIRAS-SP,RUA RIO DE JANEIRO 100,,,CENTRO,14750-000,PITANGUEIRAS,SP,1961-03-04 00:00:00,11.0,30034828.0,9999970040.0,A9970040,3539509.0
60.701.190,465.0,11.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3736.0,JAGUARIAIVA - PR.,RUA RAFAEL PETRUCCI 439,,,CENTRO,84200-000,JAGUARIAIVA,PR,2001-07-23 00:00:00,11.0,30034828.0,9999970039.0,A9970039,4112009.0
60.701.190,466.0,0.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,2908.0,PALMEIRA - PR.,RUA CONCEICAO 380,,,CENTRO,84130-000,PALMEIRA,PR,2001-07-16 00:00:00,11.0,30034828.0,9999970038.0,A9970038,4117701.0
60.701.190,467.0,83.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,426.0,SAO JOAQUIM DA BARRA-SP,PRACA 7 DE SETEMBRO 450,,,CENTRO,14600-000,SAO JOAQUIM DA BARRA,SP,1966-09-10 00:00:00,11.0,30034828.0,9999970037.0,A9970037,3549409.0
60.701.190,469.0,45.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,475.0,AQUIDAUNA-MS,RUA ESTEVAO ALVES CORREA579,,,CENTRO,79200-000,AQUIDAUANA,MS,1962-12-17 00:00:00,11.0,30034828.0,9999970035.0,A9970035,5001102.0
60.701.190,470.0,89.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,2778.0,TELEMACO BORBA - PR.,RUA SAMUEL KLABIN 794,,,CENTRO,84261-050,TELEMACO BORBA,PR,2001-07-16 00:00:00,11.0,30034828.0,9999970034.0,A9970034,4127106.0
60.701.190,471.0,60.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,527.0,CACERES-MT,RUA COMANDANTE BALDUINO 360,,,CENTRO,78200-000,CACERES,MT,1965-03-22 00:00:00,11.0,30034828.0,9999970033.0,A9970033,5102504.0
60.701.190,473.0,21.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,464.0,DOURADOS-MS,RUA JOAQUIM TEIXEIRA ALVES 1708,,,CENTRO,79801-015,DOURADOS,MS,1964-03-23 00:00:00,11.0,30034828.0,9999970031.0,A9970031,5003702.0
60.701.190,479.0,17.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,493.0,PRESIDENTE VENCESLAU-SP,RUA CAMPOS SALES 26,,,CENTRO,19400-000,PRESIDENTE VENCESLAU,SP,1963-12-16 00:00:00,11.0,30034828.0,9999970025.0,A9970025,3541505.0
60.701.190,482.0,12.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,499.0,RONDONOPOLIS-MT,RUA FERNANDO CORREA DA COSTA 495,,,CENTRO,78740-000,RONDONOPOLIS,MT,1962-12-22 00:00:00,11.0,30034828.0,9999970022.0,A9970022,5107602.0
60.701.190,484.0,84.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,2950.0,COLORADO - PR.,AV. BRASIL 1.101,,,CENTRO,86690-000,COLORADO,PR,2001-07-16 00:00:00,11.0,30034828.0,9999970020.0,A9970020,4105904.0
60.701.190,485.0,65.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,321.0,UBERABA-MG,AV. LEOPOLDINO DE OLIVEIRA 3.379,,,E UNIDOS,38015-000,UBERABA,MG,1973-09-13 00:00:00,11.0,30034828.0,9999970019.0,A9970019,3170107.0
60.701.190,487.0,27.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,345.0,SAO GABRIEL-RS,RUA GENERAL MALLET 173,,,CENTRO,97300-000,SAO GABRIEL,RS,1973-10-30 00:00:00,11.0,30034828.0,9999970017.0,A9970017,4318309.0
60.701.190,488.0,8.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,193.0,BAGE-RS,RUA SENADOR SALGADO FILHO,51,,CENTRO,96400-600,BAGE,RS,1973-10-30 00:00:00,11.0,30034828.0,9999970016.0,A9970016,4301602.0
60.701.190,489.0,99.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,343.0,SAO BORJA-RS,RUA GENERAL MARQUES1112,,,CENTRO,97670-000,SAO BORJA,RS,1973-10-29 00:00:00,11.0,30034828.0,9999970015.0,A9970015,4318002.0
60.701.190,490.0,22.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,324.0,URUGUAIANA-RS,RUA XV DE NOVEMBRO 1720,,,CENTRO,97500-510,URUGUAIANA,RS,1973-10-29 00:00:00,11.0,30034828.0,9999970014.0,A9970014,4322400.0
60.701.190,491.0,3.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,216.0,LAGES-SC,RUA CORONEL CORDOVA 122,,,CENTRO,88502-000,LAGES,SC,1973-11-27 00:00:00,11.0,30034828.0,9999970013.0,A9970013,4209300.0
60.701.190,493.0,75.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,325.0,CARAZINHO-RS,AV. GAL. FLORES DA CUNHA 1464,,,CENTRO,99500-000,CARAZINHO,RS,1973-11-27 00:00:00,11.0,30034828.0,9999970012.0,A9970012,4304705.0
60.701.190,494.0,56.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,319.0,PASSO FUNDO-RS,RUA BENTO GONCALVES518,,,CENTRO,99020-060,PASSO FUNDO,RS,1973-11-27 00:00:00,1.0,30034828.0,9999970011.0,A9970011,4314100.0
60.701.190,495.0,37.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,181.0,ALEGRETE-RS,RUA GASPAR MARTINS 337,,,CENTRO,97542-000,ALEGRETE,RS,1973-11-28 00:00:00,11.0,30034828.0,9999970010.0,A9970010,4300406.0
60.701.190,496.0,18.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,195.0,SANTANA DO LIVRAMENTO-RS,RUA DOS ANDRADAS88,,,CENTRO,97573-000,SANTANA DO LIVRAMENTO,RS,1973-11-28 00:00:00,11.0,30034828.0,9999970009.0,A9970009,4317103.0
60.701.190,497.0,7.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,341.0,ERECHIM-RS,RUA TORRES GONCALVES 75,,,CENTRO,99700-000,ERECHIM,RS,1974-03-21 00:00:00,11.0,30034828.0,9999970008.0,A9970008,4307005.0
60.701.190,498.0,80.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,339.0,SANTO ANGELO-RS,RUA MARECHAL FLORIANO 1676,,,CENTRO,98802-650,SANTO ANGELO,RS,1974-03-21 00:00:00,11.0,30034828.0,9999970007.0,A9970007,4317509.0
60.701.190,499.0,60.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,335.0,CRUZ ALTA-RS,AV. GENERAL CAMARA 708,,,CENTRO,98025-780,CRUZ ALTA,RS,1974-03-22 00:00:00,11.0,30034828.0,9999970006.0,A9970006,4306106.0
60.701.190,500.0,39.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,330.0,SANTA MARIA-RS,AV. RIO BRANCO 735,,,CENTRO,97010-423,SANTA MARIA,RS,1974-03-22 00:00:00,11.0,30034828.0,9999970005.0,A9970005,4316907.0
60.701.190,503.0,81.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,316.0,TOLEDO-PR,RUA SETE DE SETEMBRO 980,,,CENTRO,85900-220,TOLEDO,PR,1974-05-10 00:00:00,11.0,30034828.0,9999970002.0,A9970002,4127700.0
60.701.190,506.0,24.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,332.0,RIB.PRETO/AV.9 DE JULHO,AV. NOVE DE JULHO 777,,,ALTO DA CIDADE,14015-170,RIBEIRAO PRETO,SP,1965-12-18 00:00:00,11.0,30034828.0,9999969999.0,A9969999,3543402.0
60.701.190,507.0,5.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,344.0,TERESINA-PI,RUA AREOLINO DE ABREU 1131,,,CENTRO,64000-180,TERESINA,PI,1974-07-19 00:00:00,11.0,30034828.0,9999969998.0,A9969998,2211001.0
60.701.190,508.0,96.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,267.0,POCOS DE CALDAS-MG,PRACA MAJOR LUIZ LOYOLLA10,,,CENTRO,37701-003,POCOS DE CALDAS,MG,1974-06-14 00:00:00,11.0,30034828.0,9999969997.0,A9969997,3151800.0
60.701.190,510.0,0.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,358.0,RIO/REALENGO,AV. DE SANTA CRUZ 1176,,,REALENGO,23520-243,RIO DE JANEIRO,RJ,1970-01-21 00:00:00,11.0,30034828.0,9999969995.0,A9969995,3304557.0
60.701.190,512.0,72.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,354.0,S.PAULO/N.SENHORA DO O,AV. SANTA MARINA 2367,,,FREGUESIA DO O,02732-040,SAO PAULO,SP,1969-03-03 00:00:00,11.0,30034828.0,9999969993.0,A9969993,3550308.0
60.701.190,513.0,53.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,2776.0,SARANDI - PR.,AV. LONDRINA 678,,,CENTRO,87111-220,SARANDI,PR,2001-07-23 00:00:00,11.0,30034828.0,9999969992.0,A9969992,4126256.0
60.701.190,515.0,15.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,3739.0,MARINGÁ/VILA OPERÁRIA,AV. BRASIL 2105,,,VILA OPERÁRIA,87050-000,MARINGA,PR,2001-07-23 00:00:00,11.0,30034828.0,9999969990.0,A9969990,4115200.0
60.701.190,516.0,4.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,357.0,RIO/BAIRRO FATIMA,RUA RIACHUELO 221 - LJS I/J FUNDOS,,,BAIRRO DE FATIMA,20230-011,RIO DE JANEIRO,RJ,1974-12-13 00:00:00,11.0,30034828.0,9999969989.0,A9969989,3304557.0
60.701.190,518.0,68.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,563.0,RIO/ATAULFO DE PAIVA,AV.ATAULFO DE PAIVA - 1175,,,FREGUESIA DA GAVEA,22440-032,RIO DE JANEIRO,RJ,1967-12-28 00:00:00,11.0,30034828.0,9999969987.0,A9969987,3304557.0
60.701.190,519.0,49.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,387.0,RIO/FREGUESIA,RUA TIROL 07,,,FREGUESIA,22750-000,RIO DE JANEIRO,RJ,1975-06-20 00:00:00,11.0,30034828.0,9999969986.0,A9969986,3304557.0
60.701.190,520.0,82.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,367.0,SAO PAULO/TRIANON,AV. PAULISTA 1159 LOJA I,,,B. VISTA,01311-200,SAO PAULO,SP,1960-12-05 00:00:00,11.0,30034828.0,9999969985.0,A9969985,3550308.0
60.701.190,521.0,63.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,320.0,RESENDE-RJ,RUA SEBASTIAO JOSE RODRIGUES 143,,,CENTRO,27542-060,RESENDE,RJ,1974-09-27 00:00:00,11.0,30034828.0,9999969984.0,A9969984,3304201.0
60.701.190,522.0,44.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,350.0,S.PAULO/JOAQUIM FLORIANO,RUA JOAQUIM FLORIANO,736,,ITAIM,04534-003,SAO PAULO,SP,1974-10-09 00:00:00,11.0,30034828.0,9999969983.0,A9969983,3550308.0
60.701.190,523.0,25.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,328.0,PORTO ALEGRE/FARRAPOS-RS,AV.DOS FARRAPOS - 2424,,,4 DISTRITO,90220-002,PORTO ALEGRE,RS,1974-10-16 00:00:00,11.0,30034828.0,9999969982.0,A9969982,4314902.0
60.701.190,524.0,6.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,360.0,S.PAULO/AV.SANTA CATARINA,AV. SANTA CATARINA 1574,,,VILA SANTA CATARINA,04378-100,SAO PAULO,SP,1974-10-29 00:00:00,11.0,30034828.0,9999969981.0,A9969981,3550308.0
60.701.190,525.0,97.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,389.0,RIO/BOTAFOGO,RUA VOLUNTARIOS DA PATRIA 207,,,BOTAFOGO,22270-000,RIO DE JANEIRO,RJ,1974-12-06 00:00:00,11.0,30034828.0,9999969980.0,A9969980,3304557.0
60.701.190,526.0,78.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,492.0,ADAMANTINAS-SP,AV. RIO BRANCO 543,,,CENTRO,17800-000,ADAMANTINA,SP,1949-06-04 00:00:00,11.0,30034828.0,9999969979.0,A9969979,3500105.0
60.701.190,529.0,10.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,540.0,RIO/RIO BRANCO,AV.RIO BRANCO - 86,,,CENTRO,20040-000,RIO DE JANEIRO,RJ,1966-03-01 00:00:00,11.0,30034828.0,9999969976.0,A9969976,3304557.0
60.701.190,530.0,54.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,2956.0,MARIALVA - PR.,AV. CRISTOVAO COLOMBO 1295,,,CENTRO,86990-000,MARIALVA,PR,2001-07-16 00:00:00,11.0,30034828.0,9999969975.0,A9969975,4114807.0
